language	term	usage	original	wordsense	raw_freq
EN-US	try	Vorzugsterm	try	-1	-1
RU-RU	пытаться	Vorzugsterm	пытаться	0	749
RU-RU	стараться	Negativterm	стараться	0	117

STOPWORD	too	Vorzugsterm	too	-1	-1
RU-RU	слишком	Vorzugsterm	слишком	0	1531
RU-RU	очень	Negativterm	очень	0	32
RU-RU	сильно	Negativterm	сильно	0	12
RU-RU	чересчур	Negativterm	чересчур	0	8
RU-RU	излишне	Negativterm	излишне	0	6
RU-RU	чрезмерно	Negativterm	чрезмерно	0	1

EN-US	though	Vorzugsterm	though	-1	-1
RU-RU	хотя	Vorzugsterm	хотя	0	1066
RU-RU	хоть	Negativterm	хоть	0	24

STOPWORD	very	Vorzugsterm	very	-1	-1
RU-RU	очень	Vorzugsterm	очень	0	1050
RU-RU	крайне	Negativterm	крайне	0	47
RU-RU	весьма	Negativterm	весьма	0	27
RU-RU	сильно	Negativterm	сильно	0	22
RU-RU	слишком	Negativterm	слишком	0	13
RU-RU	чрезвычайно	Negativterm	чрезвычайно	0	5

EN-US	strange	Vorzugsterm	strange	-1	-1
RU-RU	странный	Vorzugsterm	странный	0	83
RU-RU	непривычный	Negativterm	непривычный	0	1
RU-RU	необычный	Negativterm	необычный	0	1

EN-US	kind	Vorzugsterm	kind	-1	-1
RU-RU	вид	Vorzugsterm	вид	4	153
RU-RU	тип	Negativterm	тип	4	42

EN-US	call	Vorzugsterm	call	-1	-1
RU-RU	называть	Vorzugsterm	называть	1	1370
RU-RU	звать	Negativterm	звать	1	12
RU-RU	именовать	Negativterm	именовать	1	8

EN-US	mean	Vorzugsterm	mean	-1	-1
RU-RU	означать	Vorzugsterm	означать	2	1357
RU-RU	значить	Negativterm	значить	2	98

EN-US	find	Vorzugsterm	find	-1	-1
RU-RU	находить	Vorzugsterm	находить	6	932
RU-RU	считать	Negativterm	считать	6	50

EN-US	way	Vorzugsterm	way	-1	-1
RU-RU	способ	Vorzugsterm	способ	0	1173
RU-RU	метод	Negativterm	метод	0	57

EN-US	absolutely	Vorzugsterm	absolutely	-1	-1
RU-RU	абсолютно	Vorzugsterm	абсолютно	0	47
RU-RU	совершенно	Negativterm	совершенно	0	8

STOPWORD	by	Vorzugsterm	by	-1	-1
RU-RU	посредством	Vorzugsterm	посредством	0	155
RU-RU	через	Negativterm	через	0	47

EN-US	think	Vorzugsterm	think	-1	-1
RU-RU	думать	Vorzugsterm	думать	2	561
RU-RU	считать	Negativterm	считать	2	187
RU-RU	полагать	Negativterm	полагать	2	66
RU-RU	видеть	Negativterm	видеть	2	3
RU-RU	рассматривать	Negativterm	рассматривать	2	2

STOPWORD	when	Vorzugsterm	when	-1	-1
RU-RU	когда	Vorzugsterm	когда	0	5507
RU-RU	если	Negativterm	если	0	358

EN-US	direction	Vorzugsterm	direction	-1	-1
RU-RU	направление	Vorzugsterm	направление	1	347
RU-RU	вектор	Negativterm	вектор	1	1

EN-US	stable	Vorzugsterm	stable	-1	-1
RU-RU	стабильный	Vorzugsterm	стабильный	0	435
RU-RU	устойчивый	Negativterm	устойчивый	0	39

EN-US	appear	Vorzugsterm	appear	-1	-1
RU-RU	казаться	Vorzugsterm	казаться	1	146
RU-RU	выглядеть	Negativterm	выглядеть	1	53

EN-US	like	Vorzugsterm	like	-1	-1
RU-RU	как	Vorzugsterm	как	5	1213
RU-RU	подобно	Negativterm	подобно	5	160
RU-RU	словно	Negativterm	словно	5	12
RU-RU	будто	Negativterm	будто	5	4
RU-RU	похоже	Negativterm	похоже	5	2

EN-US	huge	Vorzugsterm	huge	-1	-1
RU-RU	огромный	Vorzugsterm	огромный	0	630
RU-RU	гигантский	Negativterm	гигантский	0	18
RU-RU	колоссальный	Negativterm	колоссальный	0	16
RU-RU	громадный	Negativterm	громадный	0	12

EN-US	material	Vorzugsterm	material	-1	-1
RU-RU	материал	Vorzugsterm	материал	2	233
RU-RU	вещество	Negativterm	вещество	2	3

EN-US	stick	Vorzugsterm	stick	-1	-1
RU-RU	палка	Vorzugsterm	палка	4	12
RU-RU	кнут	Negativterm	кнут	4	2

STOPWORD	now	Vorzugsterm	now	-1	-1
RU-RU	сейчас	Vorzugsterm	сейчас	1	2232
RU-RU	теперь	Negativterm	теперь	1	1777
RU-RU	ныне	Negativterm	ныне	1	55

EN-US	prediction	Vorzugsterm	prediction	-1	-1
RU-RU	прогноз	Vorzugsterm	прогноз	0	54
RU-RU	предсказание	Negativterm	предсказание	0	45

EN-US	difference	Vorzugsterm	difference	-1	-1
RU-RU	различие	Vorzugsterm	различие	0	404
RU-RU	разница	Negativterm	разница	0	208
RU-RU	отличие	Negativterm	отличие	0	74

EN-US	slight	Vorzugsterm	slight	-1	-1
RU-RU	небольшой	Vorzugsterm	небольшой	1	25
RU-RU	малый	Negativterm	малый	1	16
RU-RU	незначительный	Negativterm	незначительный	1	7

EN-US	hole	Vorzugsterm	hole	-1	-1
RU-RU	дыра	Vorzugsterm	дыра	0	46
RU-RU	отверстие	Negativterm	отверстие	0	5
RU-RU	дырка	Negativterm	дырка	0	2

EN-US	shortcoming	Vorzugsterm	shortcoming	-1	-1
RU-RU	недостаток	Vorzugsterm	недостаток	1	93
RU-RU	пробел	Negativterm	пробел	1	3
RU-RU	изъян	Negativterm	изъян	1	1

EN-US	explanation	Vorzugsterm	explanation	-1	-1
RU-RU	объяснение	Vorzugsterm	объяснение	0	227
RU-RU	разъяснение	Negativterm	разъяснение	0	7

EN-US	approximately	Vorzugsterm	approximately	-1	-1
RU-RU	примерно	Vorzugsterm	примерно	0	36
RU-RU	приблизительно	Negativterm	приблизительно	0	33
RU-RU	около	Negativterm	около	0	26

EN-US	assume	Vorzugsterm	assume	-1	-1
RU-RU	предполагать	Vorzugsterm	предполагать	0	175
RU-RU	думать	Negativterm	думать	0	2

EN-US	pioneer	Vorzugsterm	pioneer	-1	-1
RU-RU	пионер	Vorzugsterm	пионер	1	29
RU-RU	первопроходец	Negativterm	первопроходец	1	8

EN-US	revolution	Vorzugsterm	revolution	-1	-1
RU-RU	революция	Vorzugsterm	революция	0	1204
RU-RU	переворот	Negativterm	переворот	0	3

EN-US	application	Vorzugsterm	application	-1	-1
RU-RU	применение	Vorzugsterm	применение	0	78
RU-RU	приложение	Negativterm	приложение	0	21
RU-RU	использование	Negativterm	использование	0	3

EN-US	initially	Vorzugsterm	initially	-1	-1
RU-RU	первоначально	Vorzugsterm	первоначально	0	65
RU-RU	изначально	Negativterm	изначально	0	65
RU-RU	сначала	Negativterm	сначала	0	18
RU-RU	поначалу	Negativterm	поначалу	0	14
RU-RU	вначале	Negativterm	вначале	0	12

EN-US	imagine	Vorzugsterm	imagine	-1	-1
RU-RU	представлять	Vorzugsterm	представлять	0	114
RU-RU	воображать	Negativterm	воображать	0	39

STOPWORD	then	Vorzugsterm	then	-1	-1
RU-RU	затем	Vorzugsterm	затем	0	418
RU-RU	потом	Negativterm	потом	0	83
RU-RU	после	Negativterm	после	0	39
RU-RU	далее	Negativterm	далее	0	27
RU-RU	впоследствии	Negativterm	впоследствии	0	18

EN-US	instrumentation	Vorzugsterm	instrumentation	-1	-1
RU-RU	оборудование	Vorzugsterm	оборудование	1	2
RU-RU	инструментарий	Negativterm	инструментарий	1	1

EN-US	small	Vorzugsterm	small	-1	-1
RU-RU	небольшой	Vorzugsterm	небольшой	1	574
RU-RU	малый	Negativterm	малый	1	352
RU-RU	маленький	Negativterm	маленький	1	315
RU-RU	незначительный	Negativterm	незначительный	1	47

EN-US	although	Vorzugsterm	although	-1	-1
RU-RU	хотя	Vorzugsterm	хотя	0	786
RU-RU	хоть	Negativterm	хоть	0	6

EN-US	eye	Vorzugsterm	eye	-1	-1
RU-RU	глаз	Vorzugsterm	глаз	1	222
RU-RU	око	Negativterm	око	1	4

EN-US	end	Vorzugsterm	end	-1	-1
RU-RU	конец	Vorzugsterm	конец	5	1023
RU-RU	окончание	Negativterm	окончание	5	227
RU-RU	прекращение	Negativterm	прекращение	5	112
RU-RU	итог	Negativterm	итог	5	63
RU-RU	завершение	Negativterm	завершение	5	60
RU-RU	результат	Negativterm	результат	5	2

EN-US	due	Vorzugsterm	due	-1	-1
RU-RU	благодаря	Vorzugsterm	благодаря	0	35
RU-RU	вследствие	Negativterm	вследствие	0	13

EN-US	vital	Vorzugsterm	vital	-1	-1
RU-RU	важный	Vorzugsterm	важный	0	78
RU-RU	существенный	Negativterm	существенный	0	2

EN-US	area	Vorzugsterm	area	-1	-1
RU-RU	область	Vorzugsterm	область	4	498
RU-RU	район	Negativterm	район	4	259

EN-US	closely	Vorzugsterm	closely	-1	-1
RU-RU	внимательно	Vorzugsterm	внимательно	0	24
RU-RU	пристально	Negativterm	пристально	0	4

STOPWORD	just	Vorzugsterm	just	-1	-1
RU-RU	только	Vorzugsterm	только	0	1001
RU-RU	лишь	Negativterm	лишь	0	210
RU-RU	всего	Negativterm	всего	0	201

EN-US	alone	Vorzugsterm	alone	-1	-1
RU-RU	только	Vorzugsterm	только	0	182
RU-RU	лишь	Negativterm	лишь	0	11

EN-US	toilet	Vorzugsterm	toilet	-1	-1
RU-RU	туалет	Vorzugsterm	туалет	1	21
RU-RU	уборная	Negativterm	уборная	1	1

EN-US	help	Vorzugsterm	help	-1	-1
RU-RU	помогать	Vorzugsterm	помогать	0	2197
RU-RU	способствовать	Negativterm	способствовать	0	112
RU-RU	содействовать	Negativterm	содействовать	0	19

EN-US	want	Vorzugsterm	want	-1	-1
RU-RU	хотеть	Vorzugsterm	хотеть	0	1683
RU-RU	желать	Negativterm	желать	0	156
RU-RU	жаждать	Negativterm	жаждать	0	5

EN-US	learn	Vorzugsterm	learn	-1	-1
RU-RU	научаться	Vorzugsterm	научаться	0	153
RU-RU	обучаться	Negativterm	обучаться	0	9

EN-US	accept	Vorzugsterm	accept	-1	-1
RU-RU	принимать	Vorzugsterm	принимать	0	515
RU-RU	брать	Negativterm	брать	0	4

EN-US	stage	Vorzugsterm	stage	-1	-1
RU-RU	стадия	Vorzugsterm	стадия	0	86
RU-RU	этап	Negativterm	этап	0	84

EN-US	fear	Vorzugsterm	fear	-1	-1
RU-RU	страх	Vorzugsterm	страх	0	545
RU-RU	боязнь	Negativterm	боязнь	0	29
RU-RU	паника	Negativterm	паника	0	2

EN-US	add	Vorzugsterm	add	-1	-1
RU-RU	добавлять	Vorzugsterm	добавлять	0	370
RU-RU	прибавлять	Negativterm	прибавлять	0	15

EN-US	wish	Vorzugsterm	wish	-1	-1
RU-RU	хотеть	Vorzugsterm	хотеть	0	64
RU-RU	желать	Negativterm	желать	0	61

EN-US	next	Vorzugsterm	next	-1	-1
RU-RU	следующий	Vorzugsterm	следующий	1	1242
RU-RU	последующий	Negativterm	последующий	1	54
RU-RU	очередной	Negativterm	очередной	1	30

EN-US	bodily	Vorzugsterm	bodily	-1	-1
RU-RU	тело	Vorzugsterm	тело	0	2
RU-RU	организм	Negativterm	организм	0	1

EN-US	else	Vorzugsterm	else	-1	-1
RU-RU	другой	Vorzugsterm	другой	1	93
RU-RU	остальной	Negativterm	остальной	1	72

EN-US	nothing	Vorzugsterm	nothing	-1	-1
RU-RU	ничто	Vorzugsterm	ничто	0	133
RU-RU	ноль	Negativterm	ноль	0	4

EN-US	comfortable	Vorzugsterm	comfortable	-1	-1
RU-RU	комфортный	Vorzugsterm	комфортный	0	15
RU-RU	удобный	Negativterm	удобный	0	14
RU-RU	уютный	Negativterm	уютный	0	2

EN-US	inhabitant	Vorzugsterm	inhabitant	-1	-1
